SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,19,13,6
TOTAL POINTS,,,
EARNED,45,37,8
MOST POINTS IN A,,,
MATCH,9,9,5
NOT OUT %,69.23%,66.12%,75.86%
TOTAL RAIDS,91,62,29
SUCCESSFUL RAIDS %,27.47,27.41,27.58
NO OF SUPER RAIDS?,1,0,1
SUPER 10S ?,0,0,0
TOTAL RAID POINTS,25,17,8
AVERAGE RAID,,,
POINTS / MATCH,1.31,1.3,1.33
NO OF SUPER ?,,,
TACKLES,1,1,0
HIGH 5S ?,0,0,0
TOTAL TACKLE POINTS,20,20,0
AVERAGE TACKLE /,,,
MATCH,1,1.46,0
TOTAL TACKLES,44,41,3
TACKLE STRIKE RATE,45.45%,48.78%,0
