SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,38,20,18
TOTAL POINTS,,,
EARNED,87,59,28
MOST POINTS IN A,,,
MATCH,7,7,5
NOT OUT % ?,66.66%,80%,0
TOTAL RAIDS,6,5,1
SUCCESSFUL RAIDS,,,
%,16.66,0,100
NO OF SUPER RAID?S,0,0,0
SUPER 10S ?,0,0,0
TOTAL RAID POINTS,1,0,1
AVERAGE RAID,,,
POINTS / MATCH,0.02,0,0.05
NO OF SUPER ?,,,
TACKLES,8,5,3
HIGH 5S ?,7,6,1
TOTAL TACKLE,,,
POINTS,86,59,27
AVERAGE TACKLE /,,,
MATCH,2.05,2.7,1.33
TOTAL TACKLES,175,105,70
TACKLE STRIKE RATE,49.14%,56.19%,38.57%
