Id,Book,Section_Id,File_Name,URL,Section_Roman,Book,,
43,Book 1: Adi Parva,Book01_43,mahabharata_01044.txt,https://www.mahabharataonline.com/translation/mahabharata_01044.php,Section XLIII,Book,1,Book01
44,Book 1: Adi Parva,Book01_44,mahabharata_01045.txt,https://www.mahabharataonline.com/translation/mahabharata_01045.php,Section XLIV,Book,1,Book01
45,Book 1: Adi Parva,Book01_45,mahabharata_01046.txt,https://www.mahabharataonline.com/translation/mahabharata_01046.php,Section XLV,Book,1,Book01
46,Book 1: Adi Parva,Book01_46,mahabharata_01047.txt,https://www.mahabharataonline.com/translation/mahabharata_01047.php,Section XLVI,Book,1,Book01
47,Book 1: Adi Parva,Book01_47,mahabharata_01048.txt,https://www.mahabharataonline.com/translation/mahabharata_01048.php,Section XLVII,Book,1,Book01
48,Book 1: Adi Parva,Book01_48,mahabharata_01049.txt,https://www.mahabharataonline.com/translation/mahabharata_01049.php,Section XLVIII,Book,1,Book01
49,Book 1: Adi Parva,Book01_49,mahabharata_01050.txt,https://www.mahabharataonline.com/translation/mahabharata_01050.php,Section XLIX,Book,1,Book01
50,Book 1: Adi Parva,Book01_50,mahabharata_01051.txt,https://www.mahabharataonline.com/translation/mahabharata_01051.php,Section L,Book,1,Book01
51,Book 1: Adi Parva,Book01_51,mahabharata_01052.txt,https://www.mahabharataonline.com/translation/mahabharata_01052.php,Section LI,Book,1,Book01
52,Book 1: Adi Parva,Book01_52,mahabharata_01053.txt,https://www.mahabharataonline.com/translation/mahabharata_01053.php,Section LII,Book,1,Book01
53,Book 1: Adi Parva,Book01_53,mahabharata_01054.txt,https://www.mahabharataonline.com/translation/mahabharata_01054.php,Section LIII,Book,1,Book01
54,Book 1: Adi Parva,Book01_54,mahabharata_01055.txt,https://www.mahabharataonline.com/translation/mahabharata_01055.php,Section LIV,Book,1,Book01
55,Book 1: Adi Parva,Book01_55,mahabharata_01056.txt,https://www.mahabharataonline.com/translation/mahabharata_01056.php,Section LV,Book,1,Book01
56,Book 1: Adi Parva,Book01_56,mahabharata_01057.txt,https://www.mahabharataonline.com/translation/mahabharata_01057.php,Section LVI,Book,1,Book01
57,Book 1: Adi Parva,Book01_57,mahabharata_01058.txt,https://www.mahabharataonline.com/translation/mahabharata_01058.php,Section LVII,Book,1,Book01
58,Book 1: Adi Parva,Book01_58,mahabharata_01059.txt,https://www.mahabharataonline.com/translation/mahabharata_01059.php,Section LVIII,Book,1,Book01
59,Book 1: Adi Parva,Book01_59,mahabharata_01060.txt,https://www.mahabharataonline.com/translation/mahabharata_01060.php,Section LIX,Book,1,Book01
60,Book 1: Adi Parva,Book01_60,mahabharata_01061.txt,https://www.mahabharataonline.com/translation/mahabharata_01061.php,Section LX,Book,1,Book01
61,Book 1: Adi Parva,Book01_61,mahabharata_01062.txt,https://www.mahabharataonline.com/translation/mahabharata_01062.php,Section LXI,Book,1,Book01
62,Book 1: Adi Parva,Book01_62,mahabharata_01063.txt,https://www.mahabharataonline.com/translation/mahabharata_01063.php,Section LXII,Book,1,Book01
63,Book 1: Adi Parva,Book01_63,mahabharata_01064.txt,https://www.mahabharataonline.com/translation/mahabharata_01064.php,Section LXIII,Book,1,Book01
64,Book 1: Adi Parva,Book01_64,mahabharata_01065.txt,https://www.mahabharataonline.com/translation/mahabharata_01065.php,Section LXIV,Book,1,Book01
65,Book 1: Adi Parva,Book01_65,mahabharata_01066.txt,https://www.mahabharataonline.com/translation/mahabharata_01066.php,Section LXV,Book,1,Book01
66,Book 1: Adi Parva,Book01_66,mahabharata_01067.txt,https://www.mahabharataonline.com/translation/mahabharata_01067.php,Section LXVI,Book,1,Book01
