MATCHES PLAYED,15,15
TOTAL POINTS,,
EARNED,56,56
MOST POINTS IN A,,
MATCH,15,15
NOT OUT %,76.36%,76.36%
TOTAL RAIDS,110,110
SUCCESSFUL RAIDS %,47.27,47.27
NO OF SUPER RAIDS?,3,3
SUPER 10S ?,1,1
TOTAL RAID POINTS,52,52
AVERAGE RAID,,
POINTS / MATCH,3.46,3.46
NO OF SUPER ?,,
TACKLES,1,1
HIGH 5S ?,0,0
TOTAL TACKLE POINTS,4,4
AVERAGE TACKLE /,,
MATCH,0.2,0.2
TOTAL TACKLES,4,4
TACKLE STRIKE RATE,100%,100%
