SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,11,3,8
TOTAL POINTS,,,
EARNED,17,2,15
MOST POINTS IN A,,,
MATCH,6,2,6
NOT OUT %,76.74%,75%,77.14%
TOTAL RAIDS,43,8,35
SUCCESSFUL RAIDS %,30.23,0,37.14
NO OF SUPER RAIDS?,0,0,0
SUPER 10S ?,0,0,0
TOTAL RAID POINTS,13,0,13
AVERAGE RAID,,,
POINTS / MATCH,1.18,0,1.62
NO OF SUPER ?,,,
TACKLES,1,0,1
HIGH 5S ?,0,0,0
TOTAL TACKLE POINTS,4,2,2
AVERAGE TACKLE /,,,
MATCH,0.27,0.66,0.12
TOTAL TACKLES,12,6,6
TACKLE STRIKE RATE,33.33%,33.33%,33.33%
