,AUC,Accuracy,Recall,Precision,F1,TN,FP,FN,TP
fastTextWiki_GBC,0.78,0.69,0.62,0.72,0.67,76.0,24.0,38.0,62.0
fastTextWiki_RFC,0.79,0.71,0.65,0.74,0.69,77.0,23.0,35.0,65.0
fastTextWiki_XGB,0.78,0.71,0.64,0.74,0.69,78.0,22.0,36.0,64.0
fastTextWiki_DT,0.64,0.63,0.63,0.63,0.63,63.0,37.0,37.0,63.0
fastTextWiki_Perceptron,0.63,0.63,0.36,0.78,0.49,90.0,10.0,64.0,36.0
Lexical_LR,0.74,0.66,0.57,0.7,0.63,76.0,24.0,43.0,57.0
Lexical_LGBM,0.69,0.66,0.7,0.64,0.67,61.0,39.0,30.0,70.0
Lexical_NB,0.69,0.58,0.32,0.67,0.43,84.0,16.0,68.0,32.0
Lexical_SVC,0.72,0.66,0.69,0.66,0.67,64.0,36.0,31.0,69.0
Lexical_ADB,0.68,0.62,0.63,0.62,0.63,62.0,38.0,37.0,63.0
Lexical_GBC,0.71,0.66,0.71,0.65,0.68,61.0,39.0,29.0,71.0
Lexical_RFC,0.72,0.66,0.75,0.64,0.69,57.0,43.0,25.0,75.0
Lexical_XGB,0.64,0.6,0.63,0.59,0.61,56.0,44.0,37.0,63.0
Lexical_DT,0.64,0.61,0.6,0.61,0.61,62.0,38.0,40.0,60.0
Lexical_Perceptron,0.5,0.5,0.0,0.0,0.0,100.0,0.0,100.0,0.0
Combined_LR,0.8,0.7,0.61,0.74,0.67,79.0,21.0,39.0,61.0
Combined_LGBM,0.78,0.7,0.63,0.72,0.67,76.0,24.0,37.0,63.0
Combined_NB,0.79,0.74,0.76,0.74,0.75,73.0,27.0,24.0,76.0
Combined_SVC,0.75,0.68,0.7,0.67,0.68,65.0,35.0,30.0,70.0
Combined_ADB,0.78,0.7,0.64,0.74,0.68,77.0,23.0,36.0,64.0
Combined_GBC,0.78,0.72,0.66,0.74,0.7,77.0,23.0,34.0,66.0
Combined_RFC,0.8,0.7,0.63,0.74,0.68,78.0,22.0,37.0,63.0
Combined_XGB,0.8,0.71,0.65,0.74,0.69,77.0,23.0,35.0,65.0
Combined_DT,0.63,0.63,0.63,0.63,0.63,63.0,37.0,37.0,63.0
Combined_Perceptron,0.5,0.5,0.01,0.5,0.02,99.0,1.0,99.0,1.0
fasttext_wiki_pretrained,0.81,0.76,0.71,0.79,0.75,81.0,19.0,29.0,71.0
fasttext_indicft_pretrained,0.81,0.74,0.71,0.76,0.74,78.0,22.0,29.0,71.0
mBERT_TaskTransferTT,0.6,0.58,0.65,0.57,0.61,51.0,49.0,35.0,65.0
indicBERT_TaskTransferTT,0.61,0.58,0.63,0.57,0.6,53.0,47.0,37.0,63.0
mBERT_PytorchTT,0.8,0.74,0.69,0.76,0.72,78.0,22.0,31.0,69.0
CNN,0.74,0.68,0.65,0.7,0.67,72.0,28.0,35.0,65.0
RNN,0.74,0.68,0.7,0.67,0.68,65.0,35.0,30.0,70.0
CNN_Wiki300,0.74,0.65,0.74,0.63,0.68,56.0,44.0,26.0,74.0
CNN_IndicFT300,0.71,0.66,0.65,0.66,0.66,67.0,33.0,35.0,65.0
