,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.7880731105804444,0.030809276550575648,0.033736467361450195,0.002964155497505928,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.932249322493225,0.9046321525885559,0.9187675070028011,0.8846153846153847,0.912,0.9104528733399933,0.015799167973021278,313,0.9766483516483517,0.9773817683344755,0.9766803840877916,0.9814687714481812,0.9774127310061602,0.9779184013049921,0.0018052433802804677
1,5.345211553573608,0.05835777915618861,0.07974157333374024,0.00651605786717463,5,1,2,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9408602150537634,0.9180327868852459,0.924791086350975,0.889487870619946,0.9110512129380054,0.9168446343695871,0.016871645893799067,280,0.9821182943603851,0.9828414550446122,0.9794238683127573,0.9842141386410432,0.9813921433494143,0.9819979799416425,0.0015893630072492185
2,8.687668514251708,0.17277494642402447,0.13115620613098145,0.008819884044973995,5,1,2,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.946236559139785,0.9095890410958904,0.9273743016759777,0.8972972972972973,0.9130434782608695,0.9187081354939639,0.01677251776693851,253,0.9800960878517502,0.980123372172721,0.98079561042524,0.9869595058339052,0.9800687285223368,0.9816086609611906,0.002689161361415703
3,13.742822504043579,0.3182122053819275,0.1952132225036621,0.008955631599077156,5,1,2,800,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9456521739130436,0.9120879120879122,0.9355742296918768,0.8948787061994611,0.9130434782608695,0.9202473000306325,0.01812378880081762,227,0.9807692307692308,0.9835390946502058,0.9780521262002743,0.9876373626373627,0.9841706813489333,0.9828336991212014,0.0032399307610052716
4,20.940988492965698,0.44428595353989364,0.3128035068511963,0.03137538377055655,5,1,2,1200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.948509485094851,0.9175824175824175,0.9382022471910112,0.8918918918918918,0.9130434782608695,0.9218459040042081,0.01985638122157381,190,0.9814687714481812,0.9848901098901099,0.9787234042553192,0.9862825788751715,0.9841706813489333,0.9831071091635429,0.002694249597416905
5,1.71542329788208,0.1316476664528662,0.029793787002563476,0.00509034196534777,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9402173913043479,0.9100817438692099,0.923943661971831,0.8895027624309393,0.9002695417789757,0.9128030202710609,0.017793577945082573,306,0.9779917469050895,0.9761092150170648,0.9793956043956045,0.9794238683127573,0.9800960878517502,0.9786033044964533,0.0014229512480352024
6,5.053900814056396,0.14585642360551954,0.08154191970825195,0.014921501283291215,5,1,5,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9459459459459458,0.9180327868852459,0.923943661971831,0.8804347826086957,0.905149051490515,0.9147012457804466,0.021624928326693906,300,0.9814432989690721,0.9814687714481812,0.9800687285223368,0.984192439862543,0.9841269841269842,0.9822600445858235,0.001631849712857691
7,8.360324335098266,0.1923899712696663,0.11866374015808105,0.014125931801302009,5,1,5,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.9459459459459458,0.912568306010929,0.9382022471910112,0.8937329700272479,0.905149051490515,0.9191197041331298,0.019831172030591114,250,0.9820936639118458,0.9828414550446122,0.9821428571428571,0.9856065798492119,0.9827705031013095,0.9830910118099674,0.0012951283391370012
8,13.634189939498901,0.12436802269329114,0.19778165817260743,0.030500805988421434,5,1,5,800,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.948509485094851,0.9120879120879122,0.9408450704225352,0.891304347826087,0.9105691056910569,0.9206631842244883,0.021071744071135587,222,0.9807692307692308,0.9842141386410432,0.9794238683127573,0.9862825788751715,0.9834710743801653,0.9828321781956737,0.002453389337160141
9,20.848583889007568,0.5501019872108162,0.31510491371154786,0.06195803230441167,5,1,5,1200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1200}",0.948509485094851,0.9150684931506851,0.9438202247191012,0.891304347826087,0.9081081081081082,0.9213621317797663,0.02172599428046616,203,0.98079561042524,0.9855670103092784,0.9794238683127573,0.9856065798492119,0.9821182943603851,0.9827022726513744,0.0025046376442272745
10,1.757781982421875,0.09259101264849484,0.03439316749572754,0.003178498168320607,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9347826086956522,0.921832884097035,0.9178470254957507,0.894308943089431,0.9032258064516129,0.9143994535658964,0.014220363256654009,302,0.9731589814177564,0.9753761969904241,0.9752747252747254,0.9794520547945206,0.9766483516483517,0.9759820620251556,0.0020650410899600573
