full_text,retweet_count,user_followers_count,favorite_count,place,coordinates,geo,created_at,id_str
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,6302,0,,,,Sun Sep 27 08:07:17 +0000 2020,1310128867110268928
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,6638,0,,,,Sun Sep 27 08:00:01 +0000 2020,1310127037496004613
"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…",10,3459,0,,,,Sun Sep 27 07:55:09 +0000 2020,1310125814503976960
"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…",10,7731,0,,,,Sun Sep 27 07:26:46 +0000 2020,1310118668991299584
"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…",10,1480,0,,,,Sun Sep 27 07:04:15 +0000 2020,1310113005883981824
"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…",10,15854,0,,,,Sun Sep 27 07:03:14 +0000 2020,1310112748089475073
"RT @GetAzadi: राहुल पूछा- मम्मी ये कौन सा जानवर है
सोनिया बोली - शेर है 
राहुल भी बोला - शेर है 
वामपंथी बोले- शेर है 
राजदीप बोला - शेर है…",48,4567,0,,,,Sun Sep 27 06:29:40 +0000 2020,1310104301981716481
"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…",10,216,0,,,,Sun Sep 27 06:13:04 +0000 2020,1310100124811456512
"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…",9,3130,0,,,,Sun Sep 27 05:31:29 +0000 2020,1310089657632268291
"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…",9,1288,0,,,,Sun Sep 27 05:25:53 +0000 2020,1310088250489479169
"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…",9,2133,0,,,,Sun Sep 27 05:24:22 +0000 2020,1310087865989201935
"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…",9,8467,0,,,,Sun Sep 27 05:22:24 +0000 2020,1310087371753316359
"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…",9,26959,0,,,,Sun Sep 27 04:38:27 +0000 2020,1310076311931465730
"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…",10,6625,0,,,,Sun Sep 27 04:34:27 +0000 2020,1310075305017573376
"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…",9,2753,0,,,,Sun Sep 27 04:29:50 +0000 2020,1310074145112125440
"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…",9,245,0,,,,Sun Sep 27 04:26:25 +0000 2020,1310073284138942464
"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…",9,2833,0,,,,Sun Sep 27 04:17:50 +0000 2020,1310071121643880448
"हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव @PrayagrajWale को अनुरोध करता हु की इस महामारी में आगे आये और अंबानी भाई की उचित मदद करे । #व्यंग
😊😢😊😢 https://t.co/EOIX3iODRQ",9,8467,13,,,,Sun Sep 27 04:12:29 +0000 2020,1310069776182468608
"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…",10,7754,0,,,,Sun Sep 27 03:47:20 +0000 2020,1310063446365368321
"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…",10,6163,0,,,,Sun Sep 27 03:25:54 +0000 2020,1310058054075822080
"अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये कौन सा मापक यंत्र है भइ, खैर मुझे क्या.... ☕

#शुभ_प्रभात
#SundayMorning #व्यंग",10,14608,7,,,,Sun Sep 27 03:21:00 +0000 2020,1310056822733037568
"आज मनमोहन सिंह का जन्मदिन है,

उतने सेकंड का मौन अगर हम उनके लिए रखें जितने लाख करोड़ के स्कैम उनके मौन मुद्रा के नीचे हुए हैं, तो उनकी 10000 पीढ़ियाँ निकल जायेंगी।

#व्यंग",0,49,0,,,,Sat Sep 26 13:43:02 +0000 2020,1309850971275538432
"जुआ चलै सट्टा चलै
चलै IPL बाजार
तुम बचवा बिना
मास्क न जायेओ बाहर
जागत है सरकार।
#व्यंग",0,4931,0,,,,Fri Sep 25 03:22:08 +0000 2020,1309332330725560320
"आगे बढ़ने वाला व्यक्ति कभी 
किसीको बाधा नहीं पहुंचाता,
                  और
दूसरों को बाधा पहुंचाने वाला
 व्यक्ति कभी आगे नहीं बढ़ता। :)
#व्यंग",0,9,3,,,,Wed Sep 23 11:33:12 +0000 2020,1308731133920591873
"सम्भाल नही पाए भईया धधकती आग जवानी मे 
एही बदे भउजी खुद गई परधानी मे 
#व्यंग https://t.co/wYGNpOMO7N",0,23,0,,,,Wed Sep 23 03:58:22 +0000 2020,1308616672660643840
"मैं एनसीबी, स्वच्छ भारत मिशन के साथ हूं, बीजेपी के नहीं, प्रिय भक्तों। लोग तो ड्रग्स के ख़िलाफ़ कैंपेन चलाते ही रहे हैं।
#व्यंग",0,185,0,,,,Tue Sep 22 16:45:06 +0000 2020,1308447242232029184
"मरते है किसान,बेरोज़गार, युवा तो मारने दो वह कोई सुशांत थोड़ी हैं,

उजड़ता है खेत-खलिहान,और भारतीय भविष्य तो उजड़ने दो, कंगना का मकान थोड़ी है!!
#किसान_बिल 
#युवा 
#वयंग",0,10,1,,,,Mon Sep 21 07:08:53 +0000 2020,1307939840973963265
"@ManishJhaTweets दरभंगा से क्यूँ, हमको तो लगता हैं बिहार में आचार संहिता लगने से तुरंत पहले कहीं #NitishKumar #पूर्णिया #भागलपुर से हवाई सेवा ना शुरू करवा दे!! #व्यंग",0,25,1,,,,Sun Sep 20 10:03:34 +0000 2020,1307621414808162304
