full_text,retweet_count,user_followers_count,favorite_count,place,coordinates,geo,created_at,id_str
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,662,0,,,,Mon Sep 28 03:06:02 +0000 2020,1310415443476115456
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,1988,0,,,,Mon Sep 28 03:03:04 +0000 2020,1310414695027757056
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,13271,0,,,,Mon Sep 28 03:00:13 +0000 2020,1310413980473667584
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,3405,0,,,,Mon Sep 28 02:10:51 +0000 2020,1310401553342238721
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,2196,0,,,,Sun Sep 27 18:42:33 +0000 2020,1310288735502659585
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,10,0,,,,Sun Sep 27 18:19:18 +0000 2020,1310282885807521792
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,6586,0,,,,Sun Sep 27 18:15:53 +0000 2020,1310282024356380675
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,1638,0,,,,Sun Sep 27 17:41:57 +0000 2020,1310273488360366080
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,64377,0,,,,Sun Sep 27 17:03:32 +0000 2020,1310263818753208321
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,247,0,,,,Sun Sep 27 16:38:47 +0000 2020,1310257591340003329
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,116,0,,,,Sun Sep 27 16:33:51 +0000 2020,1310256347447881731
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,34,0,,,,Sun Sep 27 15:07:05 +0000 2020,1310234513922863106
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,303,0,,,,Sun Sep 27 14:26:10 +0000 2020,1310224216365563904
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,4548,0,,,,Sun Sep 27 14:16:07 +0000 2020,1310221686084575232
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,10057,0,,,,Sun Sep 27 13:57:31 +0000 2020,1310217006461771779
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,78779,0,,,,Sun Sep 27 13:54:41 +0000 2020,1310216291509297152
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,12557,0,,,,Sun Sep 27 13:46:59 +0000 2020,1310214356961955840
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,404,0,,,,Sun Sep 27 13:46:28 +0000 2020,1310214224644198401
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,643,0,,,,Sun Sep 27 13:34:48 +0000 2020,1310211287448723457
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,458,0,,,,Sun Sep 27 13:26:54 +0000 2020,1310209302884311040
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,4063,0,,,,Sun Sep 27 13:19:51 +0000 2020,1310207527636721666
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,11970,0,,,,Sun Sep 27 13:09:12 +0000 2020,1310204845794574337
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,4213,0,,,,Sun Sep 27 13:04:14 +0000 2020,1310203597771214850
