Season,Team,Position,Metrics,Score
3,Bengal Warriors,5,RAID POINTS,250
3,Patna Pirates,1,AVERAGE RAID POINTS,20.25
3,Telugu Titans,2,AVERAGE RAID POINTS,18.14
3,Dabang Delhi K.C.,3,AVERAGE RAID POINTS,16.64
3,U Mumba,4,AVERAGE RAID POINTS,15.81
3,Puneri Paltan,5,AVERAGE RAID POINTS,15.69
3,Patna Pirates,1,ALL-OUTS INFLICTED,30
3,U Mumba,2,ALL-OUTS INFLICTED,27
3,Puneri Paltan,3,ALL-OUTS INFLICTED,25
3,Bengal Warriors,4,ALL-OUTS INFLICTED,17
3,Telugu Titans,5,ALL-OUTS INFLICTED,13
3,Puneri Paltan,1,TACKLE POINTS,187
3,Patna Pirates,2,TACKLE POINTS,182
3,U Mumba,3,TACKLE POINTS,169
3,Bengal Warriors,4,TACKLE POINTS,150
3,Jaipur Pink Panthers,5,TACKLE POINTS,117
3,Puneri Paltan,1,AVERAGE TACKLE POINTS,11.69
3,Patna Pirates,2,AVERAGE TACKLE POINTS,11.38
3,U Mumba,3,AVERAGE TACKLE POINTS,10.56
3,Bengal Warriors,4,AVERAGE TACKLE POINTS,9.38
3,Jaipur Pink Panthers,5,AVERAGE TACKLE POINTS,8.36
3,Dabang Delhi K.C.,1,ALL-OUTS CONCEDED,28
3,Jaipur Pink Panthers,2,ALL-OUTS CONCEDED,22
3,Bengaluru Bulls,3,ALL-OUTS CONCEDED,21
3,Bengal Warriors,4,ALL-OUTS CONCEDED,18
3,Telugu Titans,5,ALL-OUTS CONCEDED,17
4,Puneri Paltan,1,TOTAL POINTS,515
4,Telugu Titans,2,TOTAL POINTS,506
4,Patna Pirates,3,TOTAL POINTS,492
4,Jaipur Pink Panthers,4,TOTAL POINTS,475
4,Dabang Delhi K.C.,5,TOTAL POINTS,419
4,Puneri Paltan,1,TOTAL POINTS CONCEDED,491
4,Patna Pirates,2,TOTAL POINTS CONCEDED,466
4,Telugu Titans,3,TOTAL POINTS CONCEDED,454
4,Jaipur Pink Panthers,4,TOTAL POINTS CONCEDED,450
4,Bengal Warriors,5,TOTAL POINTS CONCEDED,438
4,Dabang Delhi K.C.,1,DO-OR-DIE RAID POINTS,84
4,Jaipur Pink Panthers,2,DO-OR-DIE RAID POINTS,80
4,Puneri Paltan,3,DO-OR-DIE RAID POINTS,77
4,Telugu Titans,4,DO-OR-DIE RAID POINTS,76
4,Patna Pirates,5,DO-OR-DIE RAID POINTS,73
4,Puneri Paltan,1,RAID POINTS,290
4,Jaipur Pink Panthers,2,RAID POINTS,270
4,Telugu Titans,3,RAID POINTS,267
4,Patna Pirates,4,RAID POINTS,264
4,U Mumba,5,RAID POINTS,227
4,Puneri Paltan,1,AVERAGE RAID POINTS,18.13
4,Jaipur Pink Panthers,2,AVERAGE RAID POINTS,16.88
4,Telugu Titans,3,AVERAGE RAID POINTS,16.69
4,Patna Pirates,4,AVERAGE RAID POINTS,16.5
4,U Mumba,5,AVERAGE RAID POINTS,16.21
4,Telugu Titans,1,ALL-OUTS INFLICTED,22
4,Puneri Paltan,2,ALL-OUTS INFLICTED,21
4,Patna Pirates,3,ALL-OUTS INFLICTED,19
