Player Name,Season,Matches Played,Raid Points,Super Raids,Tackle Points,Super Tackle,Total Points,Super 10s,High 5s,Team,Position,Country,Retained Young Player
More GB,5,6,14,,2,,16,,,Gujarat Fortune Giants,Raider,Indian,Rs 21.25 lakh
More GB,6,22,79,1,12,2,91,,,Gujarat Fortune Giants,Raider,Indian,Rs 21.25 lakh
Narender,6,25,1,,42,5,42,,,UP Yoddha,All-Rounder,Indian,Rs 20 lakh
Naveen,6,22,172,3,1,5,177,,,Haryana Steelers,Raider,Indian,Rs 33.5 lakh
Naveen Kumar,6,22,172,3,1,5,177,,,Dabang Delhi,Raider,Indian,
Neeraj Kumar,5,17,,,13,1,13,,,Patna Pirates,Defender - Right Cover,Indian,Rs 44.75 lakhs
Nilesh Salunke,3,7,10,1,,,10,,,Jaipur Pink Panthers,Raider,Indian,Rs 23.5 lakh
Nilesh Salunke,4,15,61,1,1,,62,,,Jaipur Pink Panthers,Raider,Indian,Rs 23.5 lakh
Nilesh Salunke,5,21,98,2,7,2,105,,,Jaipur Pink Panthers,Raider,Indian,Rs 23.5 lakh
Nilesh Salunke,6,19,81,4,4,,85,,,Jaipur Pink Panthers,Raider,Indian,Rs 23.5 lakh
Nitesh Kumar (Captain),5,19,0,,47,1,47,,,UP Yoddha,Defender,Indian,Retained Young Player
Nitesh Kumar (Captain),6,25,1,,100,8,101,,,UP Yoddha,Defender,Indian,Retained Young Player
Nitin Rawal,5,21,65,4,20,1,85,,,Jaipur Pink Panthers,All-Rounder,Indian,
Nitin Rawal,6,9,25,1,6,1,31,,,Jaipur Pink Panthers,All-Rounder,Indian,
Nitin Tomar,3,10,77,1,4,1,81,,,Puneri Paltan,Raider,Indian,Rs 1.20 crore
Nitin Tomar,4,12,33,1,1,,34,,,Puneri Paltan,Raider,Indian,Rs 1.20 crore
Nitin Tomar,5,20,167,7,10,1,177,,,Puneri Paltan,Raider,Indian,Rs 1.20 crore
Nitin Tomar,6,11,100,1,2,,102,,,Puneri Paltan,Raider,Indian,Rs 1.20 crore
Pankaj,5,13,,,16,,16,,,Gujarat Fortune Giants,All-Rounder,Indian,
Pankaj,6,1,,,1,,1,,,Gujarat Fortune Giants,All-Rounder,Indian,
Pardeep Narwal,2,6,9,1,,9,9,,,Patna Pirates,Raider,Indian,Retained Elite Player
Pardeep Narwal,3,16,116,10,5,,121,,,Patna Pirates,Raider,Indian,Retained Elite Player
Pardeep Narwal,4,16,131,3,2,1,133,,,Patna Pirates,Raider,Indian,Retained Elite Player
Pardeep Narwal,5,26,369,18,,,369,,,Patna Pirates,Raider,Indian,Retained Elite Player
Pardeep Narwal,6,21,233,6,,,233,,,Patna Pirates,Raider,Indian,Retained Elite Player
Pardeep Narwal,7,14,158,7,,,158,,,Patna Pirates,Raider,Indian,Retained Elite Player
Parvesh Bhainswal,4,7,,,3,,3,,,Gujarat Fortune Giants,Defender - Left cover,Indian,Rs 75 lakh
Parvesh Bhainswal,5,24,,,48,4,48,,,Gujarat Fortune Giants,Defender - Left cover,Indian,Rs 75 lakh
Parvesh Bhainswal,6,25,,,86,4,86,,,Gujarat Fortune Giants,Defender - Left cover,Indian,Rs 75 lakh
Pawan Kumar Sehrawat,3,13,45,1,8,2,53,,,Bengaluru Bulls,Raider,Indian,Retained Elite Player
Pawan Kumar Sehrawat,4,10,11,,,,11,,,Bengaluru Bulls,Raider,Indian,Retained Elite Player
Pawan Kumar Sehrawat,5,9,9,,1,,10,,,Gujarat Fortune Giants,Raider,Indian,Retained Elite Player
Pawan Kumar Sehrawat,6,24,271,12,11,,282,13,,Bengaluru bulls,Raider,Indian,Retained Elite Player
Pawan Kumar Sehrawat,7,15,187,4,10,1,197,9,,Bengaluru bulls,Raider,Indian,Retained Elite Player
PO Surjeet Singh( Captain),3,12,1,0,48,1,49,,,Puneri Paltan,Defender,Indian,Rs 56 lakh
PO Surjeet Singh( Captain),4,14,0,0,37,4,37,,,U Mumba,Defender,Indian,Rs 56 lakh
PO Surjeet Singh( Captain),5,24,3,0,76,4,79,,,Bengal Warriors,Defender,Indian,Rs 56 lakh
PO Surjeet Singh( Captain),6,23,3,0,54,2,57,,,Bengal Warriors,Defender,Indian,Rs 56 lakh
Prashanth Kumar Rai,1,7,5,,,,5,,,Haryana Steelers,Raider,Indian,Rs 77 lakh
Prashanth Kumar Rai,2,15,54,1,4,1,58,,,Haryana Steelers,Raider,Indian,Rs 77 lakh
Prashanth Kumar Rai,3,13,12,,,,12,,,Haryana Steelers,Raider,Indian,Rs 77 lakh
Prashanth Kumar Rai,4,9,19,2,,,19,,,Haryana Steelers,Raider,Indian,Rs 77 lakh
Prashanth Kumar Rai,5,16,78,3,2,1,80,,,Haryana Steelers,Raider,Indian,Rs 77 lakh
Prashanth Kumar Rai,6,21,144,2,3,1,147,,,Haryana Steelers,Raider,Indian,Rs 77 lakh
Rahul Chaudhari,1,14,151,2,10,1,161,8,,Telugu Titans,Raider,Indian,Rs 94 lakh
Rahul Chaudhari,2,14,98,6,9,,107,5,,Telugu Titans,Raider,Indian,Rs 94 lakh
Rahul Chaudhari,3,13,87,1,12,2,99,4,,Telugu Titans,Raider,Indian,Rs 94 lakh
Rahul Chaudhari,4,16,146,6,4,1,150,7,,Telugu Titans,Raider,Indian,Rs 94 lakh
Rahul Chaudhari,5,22,184,5,9,,193,8,,Telugu Titans,Raider,Indian,Rs 94 lakh
Rahul Chaudhari,6,21,159,4,7,1,166,4,,Tamil Thalaivas,Raider,Indian,Rs 94 lakh
Rajnish Dalal,6,4,9,,,,9,,,Telugu Titans,Raider,Indian,
Raju Lal Choudhary,1,5,,,2,,2,,,Jaipur Pink Panthers,Defender - Right Corner,Indian,Rs 10 lakh
Raju Lal Choudhary,3,1,,,1,,1,,,Jaipur Pink Panthers,Defender - Right Corner,Indian,Rs 10 lakh
Raju Lal Choudhary,4,16,,,20,,3,,,Bengaluru Bulls,Defender - Right Corner,Indian,Rs 10 lakh
Rakesh Narwal,2,11,21,2,0,0,21,,,Bengal Warriors,Raider,Indian,Rs 16.25 lakh
Rakesh Narwal,3,1,0,0,0,0,0,,,Bengal Warriors,Raider,Indian,Rs 16.25 lakh
Rakesh Narwal,5,6,17,1,1,0,18,,,Bengal Warriors,Raider,Indian,Rs 16.25 lakh
Rakesh Narwal,6,6,9,1,1,,10,,,Bengal Warriors,Raider,Indian,Rs 16.25 lakh
Ran Singh,1,10,11,1,25,2,36,,,Tamil Thalaivas,All-Rounder,Indian,Rs 55 lakh
Ran Singh,2,14,13,,31,4,44,,,Tamil Thalaivas,All-Rounder,Indian,Rs 55 lakh
Ran Singh,3,14,20,2,21,,41,,,Tamil Thalaivas,All-Rounder,Indian,Rs 55 lakh
Ran Singh,4,16,5,,28,1,33,,,Tamil Thalaivas,All-Rounder,Indian,Rs 55 lakh
Ran Singh,5,23,12,,52,3,64,,,Tamil Thalaivas,All-Rounder,Indian,Rs 55 lakh
Ran Singh,6,22,29,1,42,1,71,,,Tamil Thalaivas,All-Rounder,Indian,Rs 55 lakh
Ravi Kumar,2,13,,,37,4,37,,,Haryana Steelers,Defender - Right cover,Indian,Rs 20 lakh
Ravi Kumar,3,12,,,9,1,9,,,Haryana Steelers,Defender - Right cover,Indian,Rs 20 lakh
Ravi Kumar,4,5,,,,,,,,Haryana Steelers,Defender - Right cover,Indian,Rs 20 lakh
Ravi Kumar,5,23,,,30,2,30,,,Haryana Steelers,Defender - Right cover,Indian,Rs 20 lakh
Ravi Kumar,6,22,,,40,7,40,,,Haryana Steelers,Defender - Right cover,Indian,Rs 20 lakh
Ravinder,4,3,,,,,,,,Patna Pirates,All-Rounder,Indian,Rs 10 lakh
Ravinder,5,1,,,1,,1,,,Patna Pirates,All-Rounder,Indian,Rs 10 lakh
Ravinder,6,7,,,9,1,9,,,Patna Pirates,All-Rounder,Indian,Rs 10 lakh
Ravinder Pahal,1,9,,,29,,29,,,Dabang Delhi,Defender - Right Corner,Indian,Rs 61 lakh
Ravinder Pahal,2,14,4,,60,7,64,,,Dabang Delhi,Defender - Right Corner,Indian,Rs 61 lakh
Ravinder Pahal,3,11,8,,26,4,34,,,Dabang Delhi,Defender - Right Corner,Indian,Rs 61 lakh
Ravinder Pahal,4,14,,,37,2,37,,,Dabang Delhi,Defender - Right Corner,Indian,Rs 61 lakh
Ravinder Pahal,5,19,2,,52,3,54,,,Dabang Delhi,Defender - Right Corner,Indian,Rs 61 lakh
Ravinder Pahal,6,22,,,59,3,59,,,Dabang Delhi,Defender - Right Corner,Indian,Rs 61 lakh
Ravindra Kumawat,4,2,2,,1,,3,,,Bengal Warriors,Raider,Indian,Retained Young Player
Ravindra Kumawat,5,2,2,,,,2,,,Bengal Warriors,Raider,Indian,Retained Young Player
Ravindra Kumawat,6,12,37,2,5,,42,,,Bengal Warriors,Raider,Indian,Retained Young Player
Rinku Narwal,5,13,1,,21,4,22,,,Bengal Warriors,Defender,Indian,Rs 20 lakh
Rinku Narwal,6,15,1,1,20,,21,,,Bengal Warriors,Defender,Indian,Rs 20 lakh
Rishank Devadiga,1,16,64,2,13,,77,,,U Mumba,Raider,Indian,Rs 61 lakh
Rishank Devadiga,2,13,44,,14,,58,,,U Mumba,Raider,Indian,Rs 61 lakh
Rishank Devadiga,3,16,106,4,9,1,115,2,,U Mumba,Raider,Indian,Rs 61 lakh
