Player Name,Season,Matches Played,Raid Points,Super Raids,Tackle Points,Super Tackle,Total Points,Super 10s,High 5s,Team,Position,Country,Retained Young Player
Surender Singh,3,12,44,2,1,,45,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Surender Singh,3,12,44,2,1,,45,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Surender Singh,4,11,9,,2,,11,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Surender Singh,4,11,9,,2,,11,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Surender Singh,5,18,68,2,2,,70,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Surender Singh,5,18,68,2,2,,70,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Surender Singh,6,1,,,,,,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Surender Singh,6,1,,,,,,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Victor Onyango Obiero,6,3,6,,1,6,,,,Tamil Thalaivas,All-Rounder,Kenyan,Retained Elite Player
Vijay Kumar,5,8,1,,5,2,6,,,Bengaluru Bulls,Defender - Right Corner,Indian,Rs 21.25 lakh
Vijay Kumar,6,4,2,,1,,3,,,Bengaluru Bulls,Defender - Right Corner,Indian,Rs 21.25 lakh
Vijay Malik,5,19,27,1,37,3,64,,,Dabang Delhi,All-Rounder,Indian,Rs 41 lakh
Vijay Malik,6,21,60,,13,1,73,,,Dabang Delhi,All-Rounder,Indian,Rs 41 lakh
Vijin Thangadurai,1,14,79,3,4,0,83,,,Bengal Warriors,Defender - Right cover,Indian,Rs 10 lakh
Vijin Thangadurai,2,13,62,5,2,0,64,,,Bengal Warriors,Defender - Right cover,Indian,Rs 10 lakh
Vijin Thangadurai,3,13,61,0,3,1,64,,,Bengal Warriors,Defender - Right cover,Indian,Rs 10 lakh
Vijin Thangadurai,4,9,7,0,0,0,7,,,Bengal Warriors,Defender - Right cover,Indian,Rs 10 lakh
Vijin Thangadurai,5,18,75,2,2,0,77,,,Bengal Warriors,Defender - Right cover,Indian,Rs 10 lakh
Vijin Thangadurai,6,17,68,3,3,1,72,,,Bengal Warriors,Defender - Right cover,Indian,Rs 10 lakh
Vikas Jaglan,5,13,10,1,3,,13,,,Patna Pirates,All-Rounder,Indian,Retained Elite Player
Vikas Jaglan,6,14,21,1,16,,37,,,Patna Pirates,All-Rounder,Indian,Retained Elite Player
Vikash Khandola,4,4,3,,,,3,,,Haryana Steelers,Defender - Left Cover,Indian,Retained Elite Player
Vikash Khandola,5,9,58,1,,,58,,,Haryana Steelers,Defender - Left Cover,Indian,Retained Elite Player
Vikash Khandola,6,22,172,5,5,,177,,,Haryana Steelers,Defender - Left Cover,Indian,Retained Elite Player
Vinod Kumar,4,9,19,0,1,1,20,,,Bengaluru Bulls,Raider,Indian,Rs 10 lakh
