MATCHES PLAYED,19,19
TOTAL POINTS,,
EARNED,96,96
MOST POINTS IN A,,
MATCH,14,14
NOT OUT %,79.14%,79.14%
TOTAL RAIDS,187,187
SUCCESSFUL RAIDS %,49.19,49.19
NO OF SUPER RAIDS?,6,6
SUPER 10S ?,2,2
TOTAL RAID POINTS,92,92
AVERAGE RAID,,
POINTS / MATCH,4.84,4.84
NO OF SUPER ?,,
TACKLES,0,0
HIGH 5S ?,0,0
TOTAL TACKLE POINTS,4,4
AVERAGE TACKLE /,,
MATCH,0.21,0.21
TOTAL TACKLES,16,16
TACKLE STRIKE RATE,25%,25%
