SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,25,6,19
TOTAL POINTS,,,
EARNED,32,4,28
MOST POINTS IN A,,,
MATCH,6,4,6
NOT OUT %,85.71%,0,85.71%
TOTAL RAIDS,7,0,7
SUCCESSFUL RAIDS %,42.85,0,42.85
NO OF SUPER RAIDS?,0,0,0
SUPER 10S ?,0,0,0
TOTAL RAID POINTS,3,0,3
AVERAGE RAID,,,
POINTS / MATCH,0.12,0,0.15
NO OF SUPER ?,,,
TACKLES,6,1,5
HIGH 5S ?,1,0,1
TOTAL TACKLE POINTS,29,4,25
AVERAGE TACKLE /,,,
MATCH,0.92,0.5,1.05
TOTAL TACKLES,75,15,60
TACKLE STRIKE RATE,38.66%,26.66%,41.66%
