Sno,repo_name,repo_description,repo_language,repo_stars,repo_forks
58,replicate/cog,Containers for machine learning,Python,4838,286
59,mindsdb/lightwood,Lightwood is Legos for Machine Learning. ,Python,369,82
60,varunshenoy/GraphGPT,Extrapolating knowledge graphs from unstructured text using GPT-3 🕵️‍♂️,JavaScript,3502,289
61,satellite-image-deep-learning/datasets,Datasets for deep learning with satellite & aerial imagery,,246,33
62,hwchase17/langchain,⚡ Building applications with LLMs through composability ⚡,Python,46250,5424
63,theerfan/Q,My attempt at researching Quantum Mechanics & Quantum Computing when I was a junior.,Jupyter Notebook,116,55
64,dasarpai/Malaria-Detection_dep,Malaria Detection Deployed,PureBasic,1,0
65,dasarpai/Fish-Weight_Prediction_dep,Fish Weight Prediction Deployment,Python,1,0
66,dasarpai/House-Price-Prediction_dep,,Jupyter Notebook,1,0
67,dasarpai/NLP,NLP,Jupyter Notebook,2,0
68,lucidrains/DALLE2-pytorch,"Implementation of DALL-E 2, OpenAI's updated text-to-image synthesis neural network,  in Pytorch",Python,9799,934
69,openai/openai-cookbook,Examples and guides for using the OpenAI API,Jupyter Notebook,38518,5764
70,nshiab/simple-data-analysis.js,Easy-to-use JavaScript library for most common data analysis tasks.,TypeScript,121,8
71,microsoft/torchscale,Transformers at any scale,Python,1667,92
72,dosisod/refurb,A tool for refurbishing and modernizing Python codebases,Python,2250,44
73,labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 59 Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",Jupyter Notebook,24047,2580
74,kmario23/deep-learning-drizzle,"Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!",HTML,11207,2832
75,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,500 AI Machine learning Deep learning Computer vision NLP Projects with code,,12607,3747
76,FavioVazquez/ds-cheatsheets,List of Data Science Cheatsheets to rule the world,,12211,3437
77,josephmisiti/awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",Python,59061,14052
78,donnemartin/data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",Python,25169,7588
79,trekhleb/homemade-machine-learning,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained,Jupyter Notebook,21377,3912
80,freeCodeCamp/freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,TypeScript,368430,32357
81,GokuMohandas/Made-With-ML,"Learn how to responsibly develop, deploy and maintain production machine learning applications.",Jupyter Notebook,33342,5462
82,Developer-Y/cs-video-courses,List of Computer Science courses with video lectures.,,56725,8028
83,Ileriayo/markdown-badges,"Badges for your personal developer branding, profile, and projects.",SCSS,8133,1193
84,jivoi/awesome-ml-for-cybersecurity, :octocat: Machine Learning for Cyber Security,,5964,1626
85,microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",Jupyter Notebook,49227,10169
86,SigmaQuan/Better-Python-59-Ways,"Code Sample of Book ""Effective Python: 59 Specific Ways to Write Better Pyton"" by Brett Slatkin",Python,1362,213
87,tensorflow/gnn,TensorFlow GNN is a library to build Graph Neural Networks on the TensorFlow platform.,Python,986,136
88,manoss96/pregex,PRegEx - Programmable Regular Expressions,Python,718,21
89,goodrahstar/draw-neural-network,Quick tool to draw fully connected neural network architectures,,42,5
90,NVlabs/GroupViT,"Official PyTorch implementation of GroupViT: Semantic Segmentation Emerges from Text Supervision, CVPR 2022.",Python,595,47
91,b7leung/MLE-Flashcards,"200+ detailed flashcards useful for reviewing topics in machine learning, computer vision, and computer science.",,1631,135
92,maikherbig/AIDeveloper,"GUI-based software for training, evaluating and applying deep neural nets for image classification",Python,82,18
93,Textualize/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,Python,43554,1569
94,jonathan-laurent/AlphaZero.jl,"A generic, simple and fast implementation of Deepmind's AlphaZero algorithm.",Julia,1132,119
95,microsoft/Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!",Jupyter Notebook,19639,3872
96,SeldonIO/alibi-detect,"Algorithms for outlier, adversarial and drift detection",Python,1838,180
97,kedro-org/kedro,A Python framework for creating maintainable and modular data science code.,Python,8421,796
98,BNN-UPC/ignnition,Framework for fast prototyping of Graph Neural Networks,Python,37,15
99,aws-samples/ml-inference-using-aws-lambda-and-amazon-efs,,Python,38,27
100,dipanjanS/nlp_workshop_odsc_europe20,"Extensive tutorials for the Advanced NLP Workshop in Open Data Science Conference Europe 2020. We will leverage machine learning, deep learning and deep transfer learning to learn and solve popular tasks using NLP including NER, Classification, Recommendation \ Information Retrieval, Summarization, Classification, Language Translation, Q&A and Topic Models.",Jupyter Notebook,130,65
101,ebatty/MathToolsforNeuroscience,Materials for Mathematical Tools for Neuroscience course  at Harvard (Neurobio 212),Jupyter Notebook,410,55
102,probml/pml-book,"""Probabilistic Machine Learning"" - a book series by Kevin Murphy",Jupyter Notebook,3935,484
103,mljar/mercury,Build Web Apps in Jupyter Notebook with Python only,Python,3117,188
104,goru001/nlp-for-sanskrit,State of the Art Language models and Classifier for Sanskrit language (ancient indian language),Jupyter Notebook,63,20
105,PacktPublishing/Data-Science-for-Marketing-Analytics-Second-Edition,,Jupyter Notebook,79,89
106,omarsar/nlp_overview,Overview of Modern Deep Learning Techniques Applied to Natural Language Processing,CSS,1294,198
107,matplotlib/ipympl,Matplotlib Jupyter Integration,TypeScript,1434,216
108,javascriptdata/dnotebook,"Dnotebook is a Jupyter-like library for javaScript environment. It allows you to create and share pages that contain live code, text and visualizations.",TypeScript,139,10
109,codebasics/deep-learning-keras-tf-tutorial,"Learn deep learning with tensorflow2.0, keras and python through this comprehensive deep learning tutorial series. Learn deep learning from scratch. Deep learning series for beginners. Tensorflow tutorials, tensorflow 2.0 tutorial. deep learning tutorial python.",Jupyter Notebook,643,1685
110,alexlenail/NN-SVG,Publication-ready NN-architecture schematics. ,JavaScript,3770,478
111,shellysheynin/Deep-Learning-Book,"Deep Learning book the covers the principles of deep learning, motivation, explanations, state of the art papers for the various tasks and architectures: CNNs, object detection, semantic segmentation, generative models, denoising, super resolution, style transfer and style manipulation, inpaintig, self supervised learning, vision transformers, OCR, and multi modal. Hope that it will be useful to some of you 🙂",,91,20
112,unit8co/darts,A python library for user-friendly forecasting and anomaly detection on time series.,Python,5968,673
113,darklord0303/Hindi-OCR,,Python,16,12
114,rafiqhasan/auto-tensorflow,Build Low Code Automated Tensorflow explainable models in just 3 lines of code. Library created by: Hasan Rafiq - https://www.linkedin.com/in/sam04/,Python,177,37
115,booknlp/booknlp,"BookNLP, a natural language processing pipeline for books",Python,700,74
116,DataForScience/Epidemiology101,Epidemic Modeling for Everyone,Jupyter Notebook,261,72
117,facebookresearch/hiplot,HiPlot makes understanding high dimensional data easy,TypeScript,2485,125
118,SeldonIO/seldon-core,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",HTML,3754,758
119,ashishpatel26/365-Days-Computer-Vision-Learning-Linkedin-Post,365 Days Computer Vision Learning Linkedin Post,,395,129
120,Trusted-AI/AIF360,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.",Python,2046,687
121,salesforce/Merlion,Merlion: A Machine Learning Framework for Time Series Intelligence,Python,2991,258
122,zinggAI/zingg,"Scalable identity resolution, entity resolution, data mastering and deduplication using ML",Java,741,85
123,pycaret/pycaret,"An open-source, low-code machine learning library in Python",Jupyter Notebook,7373,1604
124,ourownstory/neural_prophet,NeuralProphet: A simple forecasting package,Python,2977,419
125,Nyandwi/machine_learning_complete,"A comprehensive machine learning repository containing 30+ notebooks on different concepts, algorithms and techniques.",Jupyter Notebook,4139,654
126,online-ml/river,🌊 Online machine learning in Python,Python,4262,474
127,justmarkham/DAT5,"General Assembly's Data Science course in Washington, DC",Jupyter Notebook,187,212
128,piyushpathak03/cracking-the-data-science-interview-in-7-days,,Python,125,49
129,MicrosoftLearning/AI-102-AIEngineer,Lab files for AI-102 - AI Engineer,C#,342,452
130,udacity/CarND-Object-Detection-Lab,,Jupyter Notebook,102,340
131,MicrosoftLearning/MCT-User-Guide,GitHub User Guide for MCTs,,38,25
132,muthuishere/rxpython-sessions,,Python,6,7
133,deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",Python,4367,1499
134,RamiKrispin/30DayChartChallenge,Code for 30DayChartChallenge,R,34,11
135,CoreyMSchafer/code_snippets,,Jupyter Notebook,9796,17732
136,dair-ai/d2l-study-group,🧠 Material for the Deep Learning Study Group,,385,52
137,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,67669,18541
138,mikblack/instructor-training,Software and Data Carpentry instructor training course material,HTML,2,0
139,carpentries/carpentries.org,The Carpentries website,HTML,62,122
140,rohitsaluja22/OpenOCRCorrect,An end to end Interactive Interface for correcting mistakes in OCR output.,C++,45,46
141,datameet/india-election-data,To map publicly available datasets related to General Assembly (Lok Sabha) elections in India.,Jupyter Notebook,137,114
142,krishnaik06/Transfer-Learning,,Python,67,100
143,sid573/Hindi_Sentiment_Analysis,Model to predict the sentiment of Hindi sentences developed this model during my 2nd-year Internship @ algo8.ai,Jupyter Notebook,8,1
144,karpathy/arxiv-sanity-preserver,"Web interface for browsing, search and filtering recent arxiv submissions",Python,4846,1319
145,Shivampanwar/Bert-text-classification,This shows how to fine-tune Bert language model and use PyTorch-transformers  for text classififcation,Jupyter Notebook,63,35
146,thakarprathamesh/Time-Series-Analysis,,Jupyter Notebook,2,2
147,hundredblocks/concrete_NLP_tutorial,An NLP workshop about concrete solutions to real problems,Jupyter Notebook,1078,453
148,ryankiros/skip-thoughts,"Sent2Vec encoder and training code from the paper ""Skip-Thought Vectors""",Python,2050,555
149,mdipietro09/DataScience_ArtificialIntelligence_Utils,Examples of Data Science projects and Artificial Intelligence use-cases,Jupyter Notebook,344,267
150,TrigonaMinima/HinglishNLP,,Jupyter Notebook,40,41
151,facebookresearch/fastText,Library for fast text representation and classification.,HTML,24685,4608
152,benfred/implicit,Fast Python Collaborative Filtering for Implicit Feedback Datasets,Python,3177,599
153,AI4Bharat/indicnlp_catalog,A collaborative catalog of NLP resources for Indic languages,,432,64
154,fastai/numerical-linear-algebra,Free online textbook of Jupyter notebooks for fast.ai Computational Linear Algebra course,Jupyter Notebook,9442,2413
155,smadha/SarcasmDetector,CSCI-544 Final Project,Python,9,6
156,avinsit123/HindiNLP,Python library to aid with your Hindi NLP tasks,Python,2,2
157,pemagrg1/Hindi-POS-Tagging-and-Keyword-Extraction,Hindi POS Tags and keywords using TNT model. Created Date: 28 Sept 2018,Python,22,10
158,PrashanthVangipurapu/Sarcasm-Detection-in-Hindi-Text,This is used for identifying whether a given text has sarcasm in it or not.,Java,1,0
159,RasaHQ/rasa,"💬   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants",Python,16510,4359
160,RasaHQ/rasa-nlu-trainer,DEPRECATED: We recommend using Rasa X https://rasa.com/docs/rasa-x/ for managing NLU data,JavaScript,467,183
161,explosion/projects,🪐 End-to-end NLP workflows from prototype to production,Python,1106,444
162,dair-ai/nlp_paper_summaries,✍️ A carefully curated list of NLP paper summaries,,1453,249
163,equester/mlops-plugin_2020,MlOps End 2 End,Jupyter Notebook,13,11
164,huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",Python,103371,20879
165,huggingface/neuralcoref,✨Fast Coreference Resolution in spaCy with Neural Networks,C,2698,470
166,sassoftware/python-swat,The SAS Scripting Wrapper for Analytics Transfer (SWAT) package is the Python client to SAS Cloud Analytic Services (CAS).  It allows users to execute CAS actions and process the results all from Python.,Python,134,54
167,dipanjanS/nlp_crash_course_plugin20,Contains relevant notebooks for the hands-on NLP workshop for the Analytics India Magazine Plugin Conference -2020 Edition,Jupyter Notebook,70,45
168,Apress/text-analytics-w-python-2e,"Source Code for 'Text Analytics with Python,' 2nd Edition by Dipanjan Sarkar",Jupyter Notebook,72,70
169,hannarud/ExData_Plotting1,Plotting Assignment 1 for Exploratory Data Analysis,R,1,0
170,paperswithcode/paperswithcode-data,The full dataset behind paperswithcode.com,,267,27
171,JuliaAI/MLJBase.jl,Core functionality for the MLJ machine learning framework,Julia,140,39
172,ChristosChristofidis/awesome-deep-learning,"A curated list of awesome Deep Learning tutorials, projects and communities.",,21030,5852
173,kailashahirwar/cheatsheets-ai,Essential Cheat Sheets for deep learning and machine learning researchers https://medium.com/@kailashahirwar/essential-cheat-sheets-for-machine-learning-and-deep-learning-researchers-efb6a8ebd2e5,,14619,3457
174,academic/awesome-datascience,:memo: An awesome Data Science repository to learn and apply for real world problems.,,21350,5461
175,zacharski/pg2dm-python,,Python,867,479
176,andrewgbruce/statistics-for-data-scientists,"Code and data associated with the book ""Statistics for Data Scientists: 50 Essential Concepts""",R,1018,633
