Sno,Group,Unicode,Browser,ShortName
1091,clothing,U+1F45B,👛,purse
1092,clothing,U+1F45C,👜,handbag
1093,clothing,U+1F45D,👝,clutch bag
1094,clothing,U+1F6CD,🛍,shopping bags
1095,clothing,U+1F392,🎒,backpack
1096,clothing,U+1FA74,🩴,⊛ thong sandal
1097,clothing,U+1F45E,👞,man’s shoe
1098,clothing,U+1F45F,👟,running shoe
1099,clothing,U+1F97E,🥾,hiking boot
1100,clothing,U+1F97F,🥿,flat shoe
1101,clothing,U+1F460,👠,high-heeled shoe
1102,clothing,U+1F461,👡,woman’s sandal
1103,clothing,U+1FA70,🩰,ballet shoes
1104,clothing,U+1F462,👢,woman’s boot
1105,clothing,U+1F451,👑,crown
1106,clothing,U+1F452,👒,woman’s hat
1107,clothing,U+1F3A9,🎩,top hat
1108,clothing,U+1F393,🎓,graduation cap
1109,clothing,U+1F9E2,🧢,billed cap
1110,clothing,U+1FA96,🪖,⊛ military helmet
1111,clothing,U+26D1,⛑,rescue worker’s helmet
1112,clothing,U+1F4FF,📿,prayer beads
1113,clothing,U+1F484,💄,lipstick
1114,clothing,U+1F48D,💍,ring
1115,clothing,U+1F48E,💎,gem stone
1116,sound,U+1F507,🔇,muted speaker
1117,sound,U+1F508,🔈,speaker low volume
1118,sound,U+1F509,🔉,speaker medium volume
1119,sound,U+1F50A,🔊,speaker high volume
1120,sound,U+1F4E2,📢,loudspeaker
1121,sound,U+1F4E3,📣,megaphone
1122,sound,U+1F4EF,📯,postal horn
1123,sound,U+1F514,🔔,bell
1124,sound,U+1F515,🔕,bell with slash
1125,music,U+1F3BC,🎼,musical score
1126,music,U+1F3B5,🎵,musical note
1127,music,U+1F3B6,🎶,musical notes
1128,music,U+1F399,🎙,studio microphone
1129,music,U+1F39A,🎚,level slider
1130,music,U+1F39B,🎛,control knobs
1131,music,U+1F3A4,🎤,microphone
1132,music,U+1F3A7,🎧,headphone
1133,music,U+1F4FB,📻,radio
1134,musical-instrument,U+1F3B7,🎷,saxophone
1135,musical-instrument,U+1FA97,🪗,⊛ accordion
1136,musical-instrument,U+1F3B8,🎸,guitar
1137,musical-instrument,U+1F3B9,🎹,musical keyboard
1138,musical-instrument,U+1F3BA,🎺,trumpet
1139,musical-instrument,U+1F3BB,🎻,violin
1140,musical-instrument,U+1FA95,🪕,banjo
1141,musical-instrument,U+1F941,🥁,drum
1142,musical-instrument,U+1FA98,🪘,⊛ long drum
1143,phone,U+1F4F1,📱,mobile phone
1144,phone,U+1F4F2,📲,mobile phone with arrow
1145,phone,U+260E,☎,telephone
1146,phone,U+1F4DE,📞,telephone receiver
1147,phone,U+1F4DF,📟,pager
1148,phone,U+1F4E0,📠,fax machine
1149,computer,U+1F50B,🔋,battery
1150,computer,U+1F50C,🔌,electric plug
1151,computer,U+1F4BB,💻,laptop
1152,computer,U+1F5A5,🖥,desktop computer
1153,computer,U+1F5A8,🖨,printer
1154,computer,U+2328,⌨,keyboard
1155,computer,U+1F5B1,🖱,computer mouse
1156,computer,U+1F5B2,🖲,trackball
1157,computer,U+1F4BD,💽,computer disk
1158,computer,U+1F4BE,💾,floppy disk
1159,computer,U+1F4BF,💿,optical disk
1160,computer,U+1F4C0,📀,dvd
1161,computer,U+1F9EE,🧮,abacus
1162,light & video,U+1F3A5,🎥,movie camera
1163,light & video,U+1F39E,🎞,film frames
1164,light & video,U+1F4FD,📽,film projector
1165,light & video,U+1F3AC,🎬,clapper board
1166,light & video,U+1F4FA,📺,television
1167,light & video,U+1F4F7,📷,camera
1168,light & video,U+1F4F8,📸,camera with flash
1169,light & video,U+1F4F9,📹,video camera
1170,light & video,U+1F4FC,📼,videocassette
1171,light & video,U+1F50D,🔍,magnifying glass tilted left
1172,light & video,U+1F50E,🔎,magnifying glass tilted right
1173,light & video,U+1F56F,🕯,candle
1174,light & video,U+1F4A1,💡,light bulb
1175,light & video,U+1F526,🔦,flashlight
1176,light & video,U+1F3EE,🏮,red paper lantern
1177,light & video,U+1FA94,🪔,diya lamp
1178,book-paper,U+1F4D4,📔,notebook with decorative cover
1179,book-paper,U+1F4D5,📕,closed book
1180,book-paper,U+1F4D6,📖,open book
1181,book-paper,U+1F4D7,📗,green book
1182,book-paper,U+1F4D8,📘,blue book
1183,book-paper,U+1F4D9,📙,orange book
1184,book-paper,U+1F4DA,📚,books
1185,book-paper,U+1F4D3,📓,notebook
1186,book-paper,U+1F4D2,📒,ledger
1187,book-paper,U+1F4C3,📃,page with curl
1188,book-paper,U+1F4DC,📜,scroll
1189,book-paper,U+1F4C4,📄,page facing up
1190,book-paper,U+1F4F0,📰,newspaper
1191,book-paper,U+1F5DE,🗞,rolled-up newspaper
1192,book-paper,U+1F4D1,📑,bookmark tabs
1193,book-paper,U+1F516,🔖,bookmark
1194,book-paper,U+1F3F7,🏷,label
1195,money,U+1F4B0,💰,money bag
1196,money,U+1FA99,🪙,⊛ coin
1197,money,U+1F4B4,💴,yen banknote
1198,money,U+1F4B5,💵,dollar banknote
1199,money,U+1F4B6,💶,euro banknote
1200,money,U+1F4B7,💷,pound banknote
1201,money,U+1F4B8,💸,money with wings
1202,money,U+1F4B3,💳,credit card
1203,money,U+1F9FE,🧾,receipt
1204,money,U+1F4B9,💹,chart increasing with yen
1205,mail,U+2709,✉,envelope
1206,mail,U+1F4E7,📧,e-mail
1207,mail,U+1F4E8,📨,incoming envelope
1208,mail,U+1F4E9,📩,envelope with arrow
1209,mail,U+1F4E4,📤,outbox tray
1210,mail,U+1F4E5,📥,inbox tray
1211,mail,U+1F4E6,📦,package
1212,mail,U+1F4EB,📫,closed mailbox with raised flag
1213,mail,U+1F4EA,📪,closed mailbox with lowered flag
1214,mail,U+1F4EC,📬,open mailbox with raised flag
1215,mail,U+1F4ED,📭,open mailbox with lowered flag
1216,mail,U+1F4EE,📮,postbox
1217,mail,U+1F5F3,🗳,ballot box with ballot
1218,writing,U+270F,✏,pencil
1219,writing,U+2712,✒,black nib
1220,writing,U+1F58B,🖋,fountain pen
1221,writing,U+1F58A,🖊,pen
1222,writing,U+1F58C,🖌,paintbrush
1223,writing,U+1F58D,🖍,crayon
1224,writing,U+1F4DD,📝,memo
1225,office,U+1F4BC,💼,briefcase
1226,office,U+1F4C1,📁,file folder
1227,office,U+1F4C2,📂,open file folder
1228,office,U+1F5C2,🗂,card index dividers
1229,office,U+1F4C5,📅,calendar
1230,office,U+1F4C6,📆,tear-off calendar
1231,office,U+1F5D2,🗒,spiral notepad
1232,office,U+1F5D3,🗓,spiral calendar
1233,office,U+1F4C7,📇,card index
1234,office,U+1F4C8,📈,chart increasing
1235,office,U+1F4C9,📉,chart decreasing
1236,office,U+1F4CA,📊,bar chart
1237,office,U+1F4CB,📋,clipboard
1238,office,U+1F4CC,📌,pushpin
1239,office,U+1F4CD,📍,round pushpin
1240,office,U+1F4CE,📎,paperclip
1241,office,U+1F587,🖇,linked paperclips
1242,office,U+1F4CF,📏,straight ruler
1243,office,U+1F4D0,📐,triangular ruler
1244,office,U+2702,✂,scissors
1245,office,U+1F5C3,🗃,card file box
1246,office,U+1F5C4,🗄,file cabinet
1247,office,U+1F5D1,🗑,wastebasket
1248,lock,U+1F512,🔒,locked
1249,lock,U+1F513,🔓,unlocked
1250,lock,U+1F50F,🔏,locked with pen
1251,lock,U+1F510,🔐,locked with key
1252,lock,U+1F511,🔑,key
1253,lock,U+1F5DD,🗝,old key
1254,tool,U+1F528,🔨,hammer
1255,tool,U+1FA93,🪓,axe
1256,tool,U+26CF,⛏,pick
1257,tool,U+2692,⚒,hammer and pick
1258,tool,U+1F6E0,🛠,hammer and wrench
1259,tool,U+1F5E1,🗡,dagger
1260,tool,U+2694,⚔,crossed swords
1261,tool,U+1F52B,🔫,pistol
1262,tool,U+1FA83,🪃,⊛ boomerang
1263,tool,U+1F3F9,🏹,bow and arrow
1264,tool,U+1F6E1,🛡,shield
1265,tool,U+1FA9A,🪚,
1266,tool,U+1F527,🔧,wrench
1267,tool,U+1FA9B,🪛,⊛ screwdriver
1268,tool,U+1F529,🔩,nut and bolt
1269,tool,U+2699,⚙,gear
1270,tool,U+1F5DC,🗜,clamp
1271,tool,U+2696,⚖,balance scale
1272,tool,U+1F9AF,🦯,white cane
1273,tool,U+1F517,🔗,link
1274,tool,U+26D3,⛓,chains
1275,tool,U+1FA9D,🪝,⊛ hook
1276,tool,U+1F9F0,🧰,toolbox
1277,tool,U+1F9F2,🧲,magnet
1278,tool,U+1FA9C,🪜,⊛ ladder
1279,science,U+2697,⚗,alembic
1280,science,U+1F9EA,🧪,test tube
1281,science,U+1F9EB,🧫,petri dish
1282,science,U+1F9EC,🧬,dna
1283,science,U+1F52C,🔬,microscope
1284,science,U+1F52D,🔭,telescope
1285,science,U+1F4E1,📡,satellite antenna
1286,medical,U+1F489,💉,syringe
1287,medical,U+1FA78,🩸,drop of blood
1288,medical,U+1F48A,💊,pill
1289,medical,U+1FA79,🩹,adhesive bandage
1290,medical,U+1FA7A,🩺,stethoscope
1291,household,U+1F6AA,🚪,door
1292,household,U+1F6D7,🛗,⊛ elevator
1293,household,U+1FA9E,🪞,
1294,household,U+1FA9F,🪟,
1295,household,U+1F6CF,🛏,bed
1296,household,U+1F6CB,🛋,couch and lamp
1297,household,U+1FA91,🪑,chair
1298,household,U+1F6BD,🚽,toilet
1299,household,U+1FAA0,🪠,⊛ plunger
1300,household,U+1F6BF,🚿,shower
1301,household,U+1F6C1,🛁,bathtub
1302,household,U+1FAA4,🪤,
1303,household,U+1FA92,🪒,razor
1304,household,U+1F9F4,🧴,lotion bottle
1305,household,U+1F9F7,🧷,safety pin
1306,household,U+1F9F9,🧹,broom
1307,household,U+1F9FA,🧺,basket
1308,household,U+1F9FB,🧻,roll of paper
1309,household,U+1FAA3,🪣,⊛ bucket
1310,household,U+1F9FC,🧼,soap
1311,household,U+1FAA5,🪥,⊛ toothbrush
1312,household,U+1F9FD,🧽,sponge
1313,household,U+1F9EF,🧯,fire extinguisher
1314,household,U+1F6D2,🛒,shopping cart
1315,other-object,U+1F6AC,🚬,cigarette
1316,other-object,U+26B0,⚰,coffin
1317,other-object,U+1FAA6,🪦,
1318,other-object,U+26B1,⚱,funeral urn
1319,other-object,U+1F5FF,🗿,moai
1320,other-object,U+1FAA7,🪧,⊛ placard
1321,transport-sign,U+1F3E7,🏧,ATM sign
1322,transport-sign,U+1F6AE,🚮,litter in bin sign
1323,transport-sign,U+1F6B0,🚰,potable water
1324,transport-sign,U+267F,♿,wheelchair symbol
1325,transport-sign,U+1F6B9,🚹,men’s room
1326,transport-sign,U+1F6BA,🚺,women’s room
1327,transport-sign,U+1F6BB,🚻,restroom
1328,transport-sign,U+1F6BC,🚼,baby symbol
1329,transport-sign,U+1F6BE,🚾,water closet
1330,transport-sign,U+1F6C2,🛂,passport control
1331,transport-sign,U+1F6C3,🛃,customs
1332,transport-sign,U+1F6C4,🛄,baggage claim
1333,transport-sign,U+1F6C5,🛅,left luggage
1334,warning,U+26A0,⚠,warning
1335,warning,U+1F6B8,🚸,children crossing
1336,warning,U+26D4,⛔,no entry
1337,warning,U+1F6AB,🚫,prohibited
1338,warning,U+1F6B3,🚳,no bicycles
1339,warning,U+1F6AD,🚭,no smoking
1340,warning,U+1F6AF,🚯,no littering
1341,warning,U+1F6B1,🚱,non-potable water
1342,warning,U+1F6B7,🚷,no pedestrians
1343,warning,U+1F4F5,📵,no mobile phones
1344,warning,U+1F51E,🔞,no one under eighteen
1345,warning,U+2622,☢,radioactive
1346,warning,U+2623,☣,biohazard
1347,arrow,U+2B06,⬆,up arrow
1348,arrow,U+2197,↗,up-right arrow
1349,arrow,U+27A1,➡,right arrow
1350,arrow,U+2198,↘,down-right arrow
1351,arrow,U+2B07,⬇,down arrow
1352,arrow,U+2199,↙,down-left arrow
1353,arrow,U+2B05,⬅,left arrow
1354,arrow,U+2196,↖,up-left arrow
1355,arrow,U+2195,↕,up-down arrow
1356,arrow,U+2194,↔,left-right arrow
1357,arrow,U+21A9,↩,right arrow curving left
1358,arrow,U+21AA,↪,left arrow curving right
1359,arrow,U+2934,⤴,right arrow curving up
1360,arrow,U+2935,⤵,right arrow curving down
1361,arrow,U+1F503,🔃,clockwise vertical arrows
1362,arrow,U+1F504,🔄,counterclockwise arrows button
1363,arrow,U+1F519,🔙,BACK arrow
1364,arrow,U+1F51A,🔚,END arrow
1365,arrow,U+1F51B,🔛,ON! arrow
1366,arrow,U+1F51C,🔜,SOON arrow
1367,arrow,U+1F51D,🔝,TOP arrow
1368,religion,U+1F6D0,🛐,place of worship
1369,religion,U+269B,⚛,atom symbol
1370,religion,U+1F549,🕉,om
1371,religion,U+2721,✡,star of David
1372,religion,U+2638,☸,wheel of dharma
1373,religion,U+262F,☯,yin yang
1374,religion,U+271D,✝,latin cross
1375,religion,U+2626,☦,orthodox cross
1376,religion,U+262A,☪,star and crescent
1377,religion,U+262E,☮,peace symbol
1378,religion,U+1F54E,🕎,menorah
1379,religion,U+1F52F,🔯,dotted six-pointed star
1380,zodiac,U+2648,♈,Aries
1381,zodiac,U+2649,♉,Taurus
1382,zodiac,U+264A,♊,Gemini
1383,zodiac,U+264B,♋,Cancer
1384,zodiac,U+264C,♌,Leo
1385,zodiac,U+264D,♍,Virgo
1386,zodiac,U+264E,♎,Libra
1387,zodiac,U+264F,♏,Scorpio
1388,zodiac,U+2650,♐,Sagittarius
1389,zodiac,U+2651,♑,Capricorn
1390,zodiac,U+2652,♒,Aquarius
1391,zodiac,U+2653,♓,Pisces
1392,zodiac,U+26CE,⛎,Ophiuchus
1393,av-symbol,U+1F500,🔀,shuffle tracks button
1394,av-symbol,U+1F501,🔁,repeat button
1395,av-symbol,U+1F502,🔂,repeat single button
1396,av-symbol,U+25B6,▶,play button
1397,av-symbol,U+23E9,⏩,fast-forward button
1398,av-symbol,U+23ED,⏭,next track button
1399,av-symbol,U+23EF,⏯,play or pause button
1400,av-symbol,U+25C0,◀,reverse button
1401,av-symbol,U+23EA,⏪,fast reverse button
1402,av-symbol,U+23EE,⏮,last track button
1403,av-symbol,U+1F53C,🔼,upwards button
1404,av-symbol,U+23EB,⏫,fast up button
1405,av-symbol,U+1F53D,🔽,downwards button
1406,av-symbol,U+23EC,⏬,fast down button
1407,av-symbol,U+23F8,⏸,pause button
1408,av-symbol,U+23F9,⏹,stop button
1409,av-symbol,U+23FA,⏺,record button
1410,av-symbol,U+23CF,⏏,eject button
1411,av-symbol,U+1F3A6,🎦,cinema
1412,av-symbol,U+1F505,🔅,dim button
1413,av-symbol,U+1F506,🔆,bright button
1414,av-symbol,U+1F4F6,📶,antenna bars
1415,av-symbol,U+1F4F3,📳,vibration mode
1416,av-symbol,U+1F4F4,📴,mobile phone off
1417,gender,U+2640,♀,female sign
1418,gender,U+2642,♂,male sign
1419,gender,U+26A7,⚧,⊛ transgender symbol
1420,math,U+2716,✖,multiply
1421,math,U+2795,➕,plus
1422,math,U+2796,➖,minus
1423,math,U+2797,➗,divide
1424,math,U+267E,♾,infinity
1425,punctuation,U+203C,‼,double exclamation mark
1426,punctuation,U+2049,⁉,exclamation question mark
1427,punctuation,U+2753,❓,question mark
1428,punctuation,U+2754,❔,white question mark
1429,punctuation,U+2755,❕,white exclamation mark
1430,punctuation,U+2757,❗,exclamation mark
1431,punctuation,U+3030,〰,wavy dash
1432,currency,U+1F4B1,💱,currency exchange
1433,currency,U+1F4B2,💲,heavy dollar sign
1434,other-symbol,U+2695,⚕,medical symbol
1435,other-symbol,U+267B,♻,recycling symbol
1436,other-symbol,U+269C,⚜,fleur-de-lis
1437,other-symbol,U+1F531,🔱,trident emblem
1438,other-symbol,U+1F4DB,📛,name badge
1439,other-symbol,U+1F530,🔰,Japanese symbol for beginner
1440,other-symbol,U+2B55,⭕,hollow red circle
1441,other-symbol,U+2705,✅,check mark button
1442,other-symbol,U+2611,☑,check box with check
1443,other-symbol,U+2714,✔,check mark
1444,other-symbol,U+274C,❌,cross mark
1445,other-symbol,U+274E,❎,cross mark button
1446,other-symbol,U+27B0,➰,curly loop
1447,other-symbol,U+27BF,➿,double curly loop
1448,other-symbol,U+303D,〽,part alternation mark
1449,other-symbol,U+2733,✳,eight-spoked asterisk
1450,other-symbol,U+2734,✴,eight-pointed star
1451,other-symbol,U+2747,❇,sparkle
1452,other-symbol,U+00A9,©,copyright
1453,other-symbol,U+00AE,®,registered
1454,other-symbol,U+2122,™,trade mark
1455,keycap,"U+0023,U+FE0F,U+20E3",#️⃣,keycap: #
1456,keycap,"U+002A,U+FE0F,U+20E3",*️⃣,keycap: *
1457,keycap,"U+0030,U+FE0F,U+20E3",0️⃣,keycap: 0
1458,keycap,"U+0031,U+FE0F,U+20E3",1️⃣,keycap: 1
1459,keycap,"U+0032,U+FE0F,U+20E3",2️⃣,keycap: 2
1460,keycap,"U+0033,U+FE0F,U+20E3",3️⃣,keycap: 3
1461,keycap,"U+0034,U+FE0F,U+20E3",4️⃣,keycap: 4
1462,keycap,"U+0035,U+FE0F,U+20E3",5️⃣,keycap: 5
1463,keycap,"U+0036,U+FE0F,U+20E3",6️⃣,keycap: 6
1464,keycap,"U+0037,U+FE0F,U+20E3",7️⃣,keycap: 7
1465,keycap,"U+0038,U+FE0F,U+20E3",8️⃣,keycap: 8
1466,keycap,"U+0039,U+FE0F,U+20E3",9️⃣,keycap: 9
1467,keycap,U+1F51F,🔟,keycap: 10
1468,alphanum,U+1F520,🔠,input latin uppercase
1469,alphanum,U+1F521,🔡,input latin lowercase
1470,alphanum,U+1F522,🔢,input numbers
1471,alphanum,U+1F523,🔣,input symbols
1472,alphanum,U+1F524,🔤,input latin letters
1473,alphanum,U+1F170,🅰,A button (blood type)
1474,alphanum,U+1F18E,🆎,AB button (blood type)
1475,alphanum,U+1F171,🅱,B button (blood type)
1476,alphanum,U+1F191,🆑,CL button
1477,alphanum,U+1F192,🆒,COOL button
1478,alphanum,U+1F193,🆓,FREE button
1479,alphanum,U+2139,ℹ,information
1480,alphanum,U+1F194,🆔,ID button
1481,alphanum,U+24C2,Ⓜ,circled M
1482,alphanum,U+1F195,🆕,NEW button
1483,alphanum,U+1F196,🆖,NG button
1484,alphanum,U+1F17E,🅾,O button (blood type)
1485,alphanum,U+1F197,🆗,OK button
1486,alphanum,U+1F17F,🅿,P button
1487,alphanum,U+1F198,🆘,SOS button
1488,alphanum,U+1F199,🆙,UP! button
1489,alphanum,U+1F19A,🆚,VS button
1490,alphanum,U+1F201,🈁,Japanese “here” button
1491,alphanum,U+1F202,🈂,Japanese “service charge” button
1492,alphanum,U+1F237,🈷,Japanese “monthly amount” button
1493,alphanum,U+1F236,🈶,Japanese “not free of charge” button
1494,alphanum,U+1F22F,🈯,Japanese “reserved” button
1495,alphanum,U+1F250,🉐,Japanese “bargain” button
1496,alphanum,U+1F239,🈹,Japanese “discount” button
1497,alphanum,U+1F21A,🈚,Japanese “free of charge” button
1498,alphanum,U+1F232,🈲,Japanese “prohibited” button
1499,alphanum,U+1F251,🉑,Japanese “acceptable” button
1500,alphanum,U+1F238,🈸,Japanese “application” button
1501,alphanum,U+1F234,🈴,Japanese “passing grade” button
1502,alphanum,U+1F233,🈳,Japanese “vacancy” button
1503,alphanum,U+3297,㊗,Japanese “congratulations” button
1504,alphanum,U+3299,㊙,Japanese “secret” button
1505,alphanum,U+1F23A,🈺,Japanese “open for business” button
1506,alphanum,U+1F235,🈵,Japanese “no vacancy” button
1507,geometric,U+1F534,🔴,red circle
1508,geometric,U+1F7E0,🟠,orange circle
1509,geometric,U+1F7E1,🟡,yellow circle
1510,geometric,U+1F7E2,🟢,green circle
1511,geometric,U+1F535,🔵,blue circle
1512,geometric,U+1F7E3,🟣,purple circle
1513,geometric,U+1F7E4,🟤,brown circle
1514,geometric,U+26AB,⚫,black circle
1515,geometric,U+26AA,⚪,white circle
1516,geometric,U+1F7E5,🟥,red square
1517,geometric,U+1F7E7,🟧,orange square
1518,geometric,U+1F7E8,🟨,yellow square
1519,geometric,U+1F7E9,🟩,green square
1520,geometric,U+1F7E6,🟦,blue square
1521,geometric,U+1F7EA,🟪,purple square
1522,geometric,U+1F7EB,🟫,brown square
1523,geometric,U+2B1B,⬛,black large square
1524,geometric,U+2B1C,⬜,white large square
1525,geometric,U+25FC,◼,black medium square
1526,geometric,U+25FB,◻,white medium square
1527,geometric,U+25FE,◾,black medium-small square
1528,geometric,U+25FD,◽,white medium-small square
1529,geometric,U+25AA,▪,black small square
1530,geometric,U+25AB,▫,white small square
1531,geometric,U+1F536,🔶,large orange diamond
1532,geometric,U+1F537,🔷,large blue diamond
1533,geometric,U+1F538,🔸,small orange diamond
1534,geometric,U+1F539,🔹,small blue diamond
1535,geometric,U+1F53A,🔺,red triangle pointed up
1536,geometric,U+1F53B,🔻,red triangle pointed down
1537,geometric,U+1F4A0,💠,diamond with a dot
1538,geometric,U+1F518,🔘,radio button
1539,geometric,U+1F533,🔳,white square button
1540,geometric,U+1F532,🔲,black square button
1541,flag,U+1F3C1,🏁,chequered flag
1542,flag,U+1F6A9,🚩,triangular flag
1543,flag,U+1F38C,🎌,crossed flags
1544,flag,U+1F3F4,🏴,black flag
1545,flag,U+1F3F3,🏳,white flag
1546,flag,"U+1F3F3,U+FE0F,U+200D,U+1F308",🏳️‍🌈,rainbow flag
1547,flag,"U+1F3F3,U+FE0F,U+200D,U+26A7,U+FE0F",🏳️‍⚧️,⊛ transgender flag
1548,flag,"U+1F3F4,U+200D,U+2620,U+FE0F",🏴‍☠️,pirate flag
1549,country-flag,"U+1F1E6,U+1F1E8",🇦🇨,flag: Ascension Island
1550,country-flag,"U+1F1E6,U+1F1E9",🇦🇩,flag: Andorra
1551,country-flag,"U+1F1E6,U+1F1EA",🇦🇪,flag: United Arab Emirates
1552,country-flag,"U+1F1E6,U+1F1EB",🇦🇫,flag: Afghanistan
1553,country-flag,"U+1F1E6,U+1F1EC",🇦🇬,flag: Antigua & Barbuda
1554,country-flag,"U+1F1E6,U+1F1EE",🇦🇮,flag: Anguilla
1555,country-flag,"U+1F1E6,U+1F1F1",🇦🇱,flag: Albania
1556,country-flag,"U+1F1E6,U+1F1F2",🇦🇲,flag: Armenia
1557,country-flag,"U+1F1E6,U+1F1F4",🇦🇴,flag: Angola
1558,country-flag,"U+1F1E6,U+1F1F6",🇦🇶,flag: Antarctica
1559,country-flag,"U+1F1E6,U+1F1F7",🇦🇷,flag: Argentina
1560,country-flag,"U+1F1E6,U+1F1F8",🇦🇸,flag: American Samoa
1561,country-flag,"U+1F1E6,U+1F1F9",🇦🇹,flag: Austria
1562,country-flag,"U+1F1E6,U+1F1FA",🇦🇺,flag: Australia
1563,country-flag,"U+1F1E6,U+1F1FC",🇦🇼,flag: Aruba
1564,country-flag,"U+1F1E6,U+1F1FD",🇦🇽,flag: Åland Islands
1565,country-flag,"U+1F1E6,U+1F1FF",🇦🇿,flag: Azerbaijan
1566,country-flag,"U+1F1E7,U+1F1E6",🇧🇦,flag: Bosnia & Herzegovina
1567,country-flag,"U+1F1E7,U+1F1E7",🇧🇧,flag: Barbados
1568,country-flag,"U+1F1E7,U+1F1E9",🇧🇩,flag: Bangladesh
1569,country-flag,"U+1F1E7,U+1F1EA",🇧🇪,flag: Belgium
1570,country-flag,"U+1F1E7,U+1F1EB",🇧🇫,flag: Burkina Faso
1571,country-flag,"U+1F1E7,U+1F1EC",🇧🇬,flag: Bulgaria
1572,country-flag,"U+1F1E7,U+1F1ED",🇧🇭,flag: Bahrain
1573,country-flag,"U+1F1E7,U+1F1EE",🇧🇮,flag: Burundi
1574,country-flag,"U+1F1E7,U+1F1EF",🇧🇯,flag: Benin
1575,country-flag,"U+1F1E7,U+1F1F1",🇧🇱,flag: St. Barthélemy
1576,country-flag,"U+1F1E7,U+1F1F2",🇧🇲,flag: Bermuda
1577,country-flag,"U+1F1E7,U+1F1F3",🇧🇳,flag: Brunei
1578,country-flag,"U+1F1E7,U+1F1F4",🇧🇴,flag: Bolivia
1579,country-flag,"U+1F1E7,U+1F1F6",🇧🇶,flag: Caribbean Netherlands
1580,country-flag,"U+1F1E7,U+1F1F7",🇧🇷,flag: Brazil
1581,country-flag,"U+1F1E7,U+1F1F8",🇧🇸,flag: Bahamas
1582,country-flag,"U+1F1E7,U+1F1F9",🇧🇹,flag: Bhutan
1583,country-flag,"U+1F1E7,U+1F1FB",🇧🇻,flag: Bouvet Island
1584,country-flag,"U+1F1E7,U+1F1FC",🇧🇼,flag: Botswana
1585,country-flag,"U+1F1E7,U+1F1FE",🇧🇾,flag: Belarus
1586,country-flag,"U+1F1E7,U+1F1FF",🇧🇿,flag: Belize
1587,country-flag,"U+1F1E8,U+1F1E6",🇨🇦,flag: Canada
1588,country-flag,"U+1F1E8,U+1F1E8",🇨🇨,flag: Cocos (Keeling) Islands
1589,country-flag,"U+1F1E8,U+1F1E9",🇨🇩,flag: Congo - Kinshasa
1590,country-flag,"U+1F1E8,U+1F1EB",🇨🇫,flag: Central African Republic
1591,country-flag,"U+1F1E8,U+1F1EC",🇨🇬,flag: Congo - Brazzaville
1592,country-flag,"U+1F1E8,U+1F1ED",🇨🇭,flag: Switzerland
1593,country-flag,"U+1F1E8,U+1F1EE",🇨🇮,flag: Côte d’Ivoire
1594,country-flag,"U+1F1E8,U+1F1F0",🇨🇰,flag: Cook Islands
1595,country-flag,"U+1F1E8,U+1F1F1",🇨🇱,flag: Chile
1596,country-flag,"U+1F1E8,U+1F1F2",🇨🇲,flag: Cameroon
1597,country-flag,"U+1F1E8,U+1F1F3",🇨🇳,flag: China
1598,country-flag,"U+1F1E8,U+1F1F4",🇨🇴,flag: Colombia
1599,country-flag,"U+1F1E8,U+1F1F5",🇨🇵,flag: Clipperton Island
1600,country-flag,"U+1F1E8,U+1F1F7",🇨🇷,flag: Costa Rica
1601,country-flag,"U+1F1E8,U+1F1FA",🇨🇺,flag: Cuba
1602,country-flag,"U+1F1E8,U+1F1FB",🇨🇻,flag: Cape Verde
1603,country-flag,"U+1F1E8,U+1F1FC",🇨🇼,flag: Curaçao
1604,country-flag,"U+1F1E8,U+1F1FD",🇨🇽,flag: Christmas Island
1605,country-flag,"U+1F1E8,U+1F1FE",🇨🇾,flag: Cyprus
1606,country-flag,"U+1F1E8,U+1F1FF",🇨🇿,flag: Czechia
1607,country-flag,"U+1F1E9,U+1F1EA",🇩🇪,flag: Germany
1608,country-flag,"U+1F1E9,U+1F1EC",🇩🇬,flag: Diego Garcia
1609,country-flag,"U+1F1E9,U+1F1EF",🇩🇯,flag: Djibouti
1610,country-flag,"U+1F1E9,U+1F1F0",🇩🇰,flag: Denmark
1611,country-flag,"U+1F1E9,U+1F1F2",🇩🇲,flag: Dominica
1612,country-flag,"U+1F1E9,U+1F1F4",🇩🇴,flag: Dominican Republic
1613,country-flag,"U+1F1E9,U+1F1FF",🇩🇿,flag: Algeria
1614,country-flag,"U+1F1EA,U+1F1E6",🇪🇦,flag: Ceuta & Melilla
1615,country-flag,"U+1F1EA,U+1F1E8",🇪🇨,flag: Ecuador
1616,country-flag,"U+1F1EA,U+1F1EA",🇪🇪,flag: Estonia
1617,country-flag,"U+1F1EA,U+1F1EC",🇪🇬,flag: Egypt
1618,country-flag,"U+1F1EA,U+1F1ED",🇪🇭,flag: Western Sahara
1619,country-flag,"U+1F1EA,U+1F1F7",🇪🇷,flag: Eritrea
1620,country-flag,"U+1F1EA,U+1F1F8",🇪🇸,flag: Spain
1621,country-flag,"U+1F1EA,U+1F1F9",🇪🇹,flag: Ethiopia
1622,country-flag,"U+1F1EA,U+1F1FA",🇪🇺,flag: European Union
1623,country-flag,"U+1F1EB,U+1F1EE",🇫🇮,flag: Finland
1624,country-flag,"U+1F1EB,U+1F1EF",🇫🇯,flag: Fiji
