MATCHES PLAYED,20,20
TOTAL POINTS,,
EARNED,100,100
MOST POINTS IN A,,
MATCH,10,10
NOT OUT % ?,81.34 %,81.34 %
TOTAL RAIDS,193,193
SUCCESSFUL RAIDS,,
%,38.86,38.86
NO OF SUPER RAID?S,3,3
SUPER 10S ?,1,1
TOTAL RAID POINTS,75,75
AVERAGE RAID,,
POINTS / MATCH,3.75,3.75
NO OF SUPER ?,,,
TACKLES,,2,2
HIGH 5S ?,,1,1
TOTAL TACKLE,,,
POINTS,,25,25
AVERAGE TACKLE /,,,
MATCH,,1.15,1.15
TOTAL TACKLES,,54,54
TACKLE STRIKE RATE,,46.29 %,46.29 %
